all_words	flexion	grammar	definition	translation	used	example	semem_links	idiom	derivation	word
http://www.makedonski.info/show/убост/ж	 убоста 	 Вид збор: Именка, женски род 	 	 Англиски: beauty 	 Дијалектен збор 					убост, ж
http://www.makedonski.info/show/уброва/несв	 уброваат 	 Вид збор: Глагол, несвршен 	 	 						уброва, несв
http://www.makedonski.info/show/убровање/ср	 	 Вид збор: Именка, среден род 	 	 						убровање, ср
http://www.makedonski.info/show/уброи/св	 убројуваат 	 Вид збор: Глагол, свршен 	 NEXT_MEANING 	 Англиски: include Албански: përfshij, inkludoj NEXT_MEANING Англиски: include Албански: numërohem 	 Книжевен збор NEXT_MEANING Книжевен збор 		 			уброи, св
http://www.makedonski.info/show/убројува/несв	 убројуваат 	 Вид збор: Глагол, несвршен 	 NEXT_MEANING 	 Англиски: include Албански: përfshij NEXT_MEANING Англиски: include Албански: numërohem 						убројува, несв
http://www.makedonski.info/show/убројување/ср	 	 Вид збор: Именка, среден род 	 Слично со: вбројување (ср.) 	 Англиски: inclusion 			 Слично со: вбројување (ср.) 			убројување, ср
http://www.makedonski.info/show/убрус/м	 мн. убруси 	 Вид збор: Именка, машки род 	 NEXT_MEANING Вид: облека (ж.) 	 Англиски: towel Албански: peshqir NEXT_MEANING Англиски: scarf Албански: shami 			 			убрус, м
http://www.makedonski.info/show/уважен/прид	 уважени 	 Вид збор: Придавка 	 Слично со: почитуван (прид.) , ценет (прид.) 	 Англиски: honored 			 Слично со: почитуван (прид.) , ценет (прид.) 		 1. уважено прил.NEXT_MEANING 2. уваженост ж.	уважен, прид
http://www.makedonski.info/show/уважение/ср	 мн. уваженија 	 Вид збор: Именка, среден род 	 Слично со: почит (ж.) , респект (м.) 	 Англиски: respect 			 Слично со: почит (ж.) , респект (м.) 			уважение, ср
http://www.makedonski.info/show/уважи/св	 уважат 	 Вид збор: Глагол, свршен 	 Слично со: почитува (несв.) NEXT_MEANING Слично со: прифати (св.) 	 Англиски: honour, esteem NEXT_MEANING Англиски: consider, regard 		 уважи приговор 	 Слично со: почитува (несв.) 		 уважува несв. уважуваат	уважи, св
http://www.makedonski.info/show/уважување/ср	 уважувањето 	 Вид збор: Именка, среден род 	 	 Англиски: esteem 		 Не пречекаа со големо уважување и почест. 				уважување, ср
http://www.makedonski.info/show/увари/св	 уварат 	 Вид збор: Глагол, свршен 	 	 Англиски: cook Албански: ziej 	 Гастрономија NEXT_MEANING Народна поезија 		 			увари, св
http://www.makedonski.info/show/увежба/св	 увежбаат 	 Вид збор: Глагол, свршен 	 	 Англиски: exercise 			 		 увежбува несв. увежбуваат	увежба, св
http://www.makedonski.info/show/увезе/св	 увезат 	 Вид збор: Глагол, свршен 	 Слично со: импортира (св. и несв.) 	 Англиски: import Албански: importoj 	 Економија 		 Слично со: импортира (св. и несв.) 			увезе, св
http://www.makedonski.info/show/увезен/прид	 увезени 	 Вид збор: Придавка 	 Слично со: увозен (прид.) 	 Англиски: imported Албански: i importuar 	 Економија 	 Увезени автомобили од Германија. 				увезен, прид
http://www.makedonski.info/show/увезува/несв	 увезуваат 	 Вид збор: Глагол, несвршен 	 Слично со: импортира (св. и несв.) 	 Англиски: import 	 Економија 	 Ние увезуваме разни стоки. 				увезува, несв
http://www.makedonski.info/show/увезување/ср	 	 Вид збор: Именка, среден род 	 Слично со: увоз (м.) , импорт (м.) Спротивно од: извезување (ср.) 	 Англиски: import Албански: importim 	 Економија 	 Увезување на намирници. 				увезување, ср
http://www.makedonski.info/show/увеличи/св	 увеличат 	 Вид збор: Глагол, свршен 	 Спротивно од: смали (св.) NEXT_MEANING NEXT_MEANING 	 Англиски: magnify Албански: zmadhoj, lartësoj NEXT_MEANING Англиски: exaggerate Албански: ekzagjërim NEXT_MEANING Англиски: enlarge Албански: zmadhoj 		 Ти намерно ја увеличи работата. 	 Спротивно од: смали (св.) 			увеличи, св
http://www.makedonski.info/show/увеличителен/прид	 увеличителна 	 Вид збор: Придавка 	 	 Англиски: magnification 			 			увеличителен, прид
http://www.makedonski.info/show/увеличува/несв	 увеличуваат 	 Вид збор: Глагол, несвршен 	 NEXT_MEANING NEXT_MEANING 	 Англиски: magnify Албански: zmadhim, lartësim NEXT_MEANING Англиски: exaggerate Албански: ekzagjërim NEXT_MEANING Англиски: enlarge Албански: zmadhim 			 			увеличува, несв
http://www.makedonski.info/show/увеличување/ср	 	 Вид збор: Именка, среден род 	 NEXT_MEANING 	 Англиски: magnification Албански: zmadhim, rritje NEXT_MEANING Англиски: exaggeration Албански: egzagjërim 						увеличување, ср
http://www.makedonski.info/show/увенча/св	 увенчаат 	 Вид збор: Глагол, свршен 	 NEXT_MEANING 	 Англиски: crown Албански: kurorëzoj NEXT_MEANING Англиски: crown Албански: kurorëzohem 		 Нивната работа се увенча со успех. 	 			увенча, св
http://www.makedonski.info/show/увенчува/несв	 (се) увенчуваат 	 Вид збор: Глагол, несвршен 	 	 Англиски: crown 					 увенчување ср.	увенчува, несв
http://www.makedonski.info/show/уверен/прид	 уверени 	 Вид збор: Придавка 	 NEXT_MEANING 	 Англиски: convinced NEXT_MEANING Англиски: certain 		 Тие беа сосема сигурни дека тоа е така. 	 			уверен, прид
http://www.makedonski.info/show/уверение/ср	 мн. уверенија 	 Вид збор: Именка, среден род 	 NEXT_MEANING Вид: документ (м.) 	 Англиски: conviction Албански: dëftesë, çertifikatë NEXT_MEANING Англиски: attestation Албански: certifikatë 	 Административен термин 	 Лекарско уверение. NEXT_MEANING Уверение за имотна состојба. 	 			уверение, ср
http://www.makedonski.info/show/уверено/прил	 	 Вид збор: Прилог 	 NEXT_MEANING 	 NEXT_MEANING 			 			уверено, прил
http://www.makedonski.info/show/увереност/ж	 	 Вид збор: Именка, женски род 	 NEXT_MEANING 	 Англиски: conviction Албански: bindje NEXT_MEANING Англиски: assurance Албански: siguri 						увереност, ж
http://www.makedonski.info/show/увери/св	 уверат 	 Вид збор: Глагол, свршен 	 NEXT_MEANING NEXT_MEANING 	 Англиски: convince Албански: bind NEXT_MEANING Англиски: reassure Албански: bindem NEXT_MEANING Англиски: assure Албански: bind 		 Се увери дека работите стојат лошо. 	 			увери, св
http://www.makedonski.info/show/уверлив/прид	 уверливи 	 Вид збор: Придавка 	 Спротивно од: неуверлив (прид.) 	 Англиски: convincing 			 Спротивно од: неуверлив (прид.) 			уверлив, прид
http://www.makedonski.info/show/уверливо/прил	 	 Вид збор: Прилог 	 	 						уверливо, прил
http://www.makedonski.info/show/уверливост/ж	 	 Вид збор: Именка, женски род 	 	 			 			уверливост, ж
http://www.makedonski.info/show/увертира/ж	 мн. увертири 	 Вид збор: Именка, женски род 	 NEXT_MEANING NEXT_MEANING 	 Англиски: overture Француски: ouverture Албански: uverturë NEXT_MEANING Англиски: overture Француски: ouverture Албански: uverturë NEXT_MEANING Англиски: overture Француски: ouverture Албански: uverturë 	 Музика и танц NEXT_MEANING Музика и танц NEXT_MEANING Книжевен збор NEXT_MEANING Преносно значење 		 			увертира, ж
http://www.makedonski.info/show/уверува/несв	 уверуваат 	 Вид збор: Глагол, несвршен 	 NEXT_MEANING 	 Англиски: reassure Албански: bind NEXT_MEANING Англиски: assure Албански: bindet 		 Ве уверуваме дека сите проекти кои ги реализираме се во интерес на нашите граѓани. 				уверува, несв
http://www.makedonski.info/show/уверува/св	 (се) уверуваат 	 Вид збор: Глагол, свршен 	 	 Англиски: convince 			 			уверува, св
http://www.makedonski.info/show/уверување/ср	 	 Вид збор: Именка, среден род 	 	 			 			уверување, ср
http://www.makedonski.info/show/уви/изв	 	 Вид збор: Извик 	 	 	 Книжевен збор 		 			уви, изв
http://www.makedonski.info/show/увива/несв	 увиваат 	 Вид збор: Глагол, несвршен 	 Слично со: завитка (св.) NEXT_MEANING Слично со: обвие (св.) NEXT_MEANING Слично со: сплетува (несв.) NEXT_MEANING Слично со: усука (св.) NEXT_MEANING NEXT_MEANING NEXT_MEANING NEXT_MEANING 	 Англиски: wrap up Албански: pështjell NEXT_MEANING Англиски: wrap Албански: mbështjell NEXT_MEANING Англиски: weave Албански: shpik NEXT_MEANING Англиски: roll Албански: përdredhur NEXT_MEANING Англиски: coil Албански: pështjell NEXT_MEANING Англиски: wrap Албански: mbështjell NEXT_MEANING Англиски: wrap Албански: mbështjell NEXT_MEANING Англиски: wind Албански: sill 		 Мајката го увива бебето во пелени. 		 7. (се увие) со нешто, се обвие, се завие Англиски: wrap Албански: mbështjell Примери: Кој ти препорача да се увиваш со појас? 		увива, несв
http://www.makedonski.info/show/увивање/ср	 	 Вид збор: Именка, среден род 	 NEXT_MEANING NEXT_MEANING NEXT_MEANING 	 Албански: mbështjellës NEXT_MEANING Албански: mbështjellje NEXT_MEANING Албански: thurrje NEXT_MEANING 						увивање, ср
http://www.makedonski.info/show/увид/м	 (едн.) 	 Вид збор: Именка, машки род 	 Слично со: преглед (м.) NEXT_MEANING 	 Англиски: inspection Албански: kontrollim NEXT_MEANING Англиски: examination Албански: kontroll 	 Правда 	 Се изврши увид на самото место. 	 Слично со: преглед (м.) 			увид, м
http://www.makedonski.info/show/увиди/св	 увидат 	 Вид збор: Глагол, свршен 	 Слично со: увиди (св.) 	 Англиски: realize 			 Слично со: увиди (св.) 			увиди, св
http://www.makedonski.info/show/увидува/несв	 увидуваат 	 Вид збор: Глагол, несвршен 	 	 Англиски: realize 		 Тој секогаш доцна ги увидува своите грешки. 				увидува, несв
http://www.makedonski.info/show/увидување/ср	 	 Вид збор: Именка, среден род 	 	 Англиски: realization 						увидување, ср
http://www.makedonski.info/show/увие/св	 увијат 	 Вид збор: Глагол, свршен 	 Слично со: завие (св.) NEXT_MEANING NEXT_MEANING NEXT_MEANING NEXT_MEANING NEXT_MEANING 	 Англиски: wrap up Албански: mbështjell NEXT_MEANING Англиски: coil Албански: mbështjell NEXT_MEANING Англиски: weave Албански: endje NEXT_MEANING Англиски: wrap Албански: pështjell NEXT_MEANING Англиски: wrap Албански: pështjell NEXT_MEANING Англиски: wind Албански: pështjell 		 Увиј ја прачката со жица. 	 Слично со: завие (св.) 			увие, св
http://www.makedonski.info/show/увилен/прид	 увилени 	 Вид збор: Придавка 	 	 Англиски: sad 			 			увилен, прид
http://www.makedonski.info/show/увиленост/ж	 	 Вид збор: Именка, женски род 	 	 			 			увиленост, ж
http://www.makedonski.info/show/увили/св	 (се) увилат 	 Вид збор: Глагол, свршен 	 Слично со: растажи (св.) , нажали (св.) 	 Англиски: grieve 			 Слично со: растажи (св.) , нажали (св.) 			увили, св
http://www.makedonski.info/show/увилно/прил	 	 Вид збор: Прилог 	 	 Англиски: sadly 	 Народна поезија 	 Увилно оди покрај трпеза. 				увилно, прил
http://www.makedonski.info/show/увилува/несв	 (се) увилуваат 	 Вид збор: Глагол, несвршен 	 	 						увилува, несв
http://www.makedonski.info/show/увилување/ср	 	 Вид збор: Именка, среден род 	 	 						увилување, ср
http://www.makedonski.info/show/увин/прид	 увиниот 	 Вид збор: Придавка 	 	 Англиски: uva ursi 	 Медицина NEXT_MEANING Нестандарден збор 		 			увин, прид
http://www.makedonski.info/show/уво/ср	 мн. уши 	 Вид збор: Именка, среден род 	 Вид: орган (м.) NEXT_MEANING Слично со: слух (м.) NEXT_MEANING NEXT_MEANING NEXT_MEANING NEXT_MEANING NEXT_MEANING 	 Англиски: ear Албански: vesh NEXT_MEANING Англиски: hearing Албански: dëgjim NEXT_MEANING Англиски: ear Албански: vesh NEXT_MEANING Албански: mykë NEXT_MEANING Англиски: ear Албански: vrimë NEXT_MEANING Албански: dorëza NEXT_MEANING Албански: dhogë avlëmenti 	 Анатомија NEXT_MEANING Медицина NEXT_MEANING Анатомија 	 Има добро уво - има добар слух. NEXT_MEANING Пара уши - оглуши. NEXT_MEANING музикално уво NEXT_MEANING ловечко уво 	 Вид: орган (м.) 	Изрази		уво, ср
http://www.makedonski.info/show/увод/м	 (едн.) 	 Вид збор: Именка, машки род 	 Слично со: вовед (м.) NEXT_MEANING NEXT_MEANING 	 Англиски: introduction Српски: увод Албански: hyrje NEXT_MEANING Англиски: introduction Српски: увод Албански: parathënie NEXT_MEANING Англиски: introduction Српски: увод Албански: parathënie 	 Образование 	 Тоа како да беше увод во драматичните настани што дојдоа подоцна. 	 Слично со: вовед (м.) 			увод, м
http://www.makedonski.info/show/уводен/прид	 уводна 	 Вид збор: Придавка 	 NEXT_MEANING 	 Англиски: introductory NEXT_MEANING Англиски: editorial 			 			уводен, прид
http://www.makedonski.info/show/уводник/м	 мн. уводници 	 Вид збор: Именка, машки род 	 	 Англиски: editorial 			 			уводник, м
http://www.makedonski.info/show/уводничар/м	 мн. уводничари 	 Вид збор: Именка, машки род 	 	 Англиски: editor 			 			уводничар, м
http://www.makedonski.info/show/увоз/м	 (едн.) увозот 	 Вид збор: Именка, машки род 	 Слично со: импорт (м.) Спротивно од: извоз (м.) NEXT_MEANING 	 Англиски: import Албански: import NEXT_MEANING Англиски: import Албански: import 	 Економија NEXT_MEANING Економија 	 Стоки од увозот. 	 Слично со: импорт (м.) Спротивно од: извоз (м.) 			увоз, м
http://www.makedonski.info/show/увозен/прид	 увозна 	 Вид збор: Придавка 	 Спротивно од: извозен (прид.) 	 Англиски: imported Албански: i importit, importues 	 Економија 		 Спротивно од: извозен (прид.) 			увозен, прид
http://www.makedonski.info/show/увозлив/прид	 увозливи 	 Вид збор: Придавка 	 Спротивно од: извозлив (прид.) 	 Англиски: importable Албански: importues 	 Економија 		 Спротивно од: извозлив (прид.) 			увозлив, прид
http://www.makedonski.info/show/увозник/м	 мн. увозници 	 Вид збор: Именка, машки род 	 Спротивно од: извозник (м.) 	 Англиски: importer Албански: importues 	 Економија 		 Спротивно од: извозник (м.) 			увозник, м
http://www.makedonski.info/show/увознина/ж	 	 Вид збор: Именка, женски род 	 Вид: давачка (ж.) 	 Англиски: import duty Албански: taksë importi 	 Економија 		 Вид: давачка (ж.) 			увознина, ж
http://www.makedonski.info/show/увозница/ж	 мн. увозници 	 Вид збор: Именка, женски род 	 	 Англиски: import permit Албански: leje importi 	 Економија 		 			увозница, ж
